MovieId,Title,Genre
1,Postino, Il (The Postman) (1994),Drama|Romance
2,Hamlet (1990),Drama
3,Casino (1995),Drama|Thriller
4,Austin Powers: The Spy Who Shagged Me (1999),Comedy
5,Sleeping Beauty (1959),Animation|Children's|Musical
6,West Side Story (1961),Musical|Romance
7,Legend of 1900, The (Leggenda del pianista sull'oceano) (1998),Drama
8,Nightmares (1983),Horror
9,Cross of Iron (1977),War
10,SubUrbia (1997),Comedy
11,Postman, The (1997),Drama
12,Elstree Calling (1930),Comedy|Musical
13,Strangeland (1998),Thriller
14,Drunks (1997),Drama
16,Eighth Day, The (Le Huitième jour ) (1996),Drama
17,Actor's Revenge, An (Yukinojo Henge) (1963),Drama
18,Loaded (1994),Drama|Thriller
19,Eight Days a Week (1997),Comedy
20,Criminal Lovers (Les Amants Criminels) (1999),Drama|Romance
21,Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970),Drama
22,House of the Spirits, The (1993),Drama|Romance
23,Spaceballs (1987),Comedy|Sci-Fi
24,Craft, The (1996),Drama|Horror
25,Mildred Pierce (1945),Drama
26,Dudley Do-Right (1999),Children's|Comedy
27,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller
28,Rocky (1976),Action|Drama
29,Eyes Wide Shut (1999),Drama
30,School of Flesh, The (L' École de la chair) (1998),Drama
31,Cape Fear (1991),Thriller
32,Butterfly Kiss (1995),Thriller
33,Boiling Point (1993),Action|Drama
34,Nutty Professor, The (1963),Comedy
35,Catwalk (1995),Documentary
36,March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),Comedy
37,One Night Stand (1997),Drama
38,Beneath the Planet of the Apes (1970),Action|Sci-Fi
39,Cobb (1994),Drama
40,Volunteers (1985),Comedy
41,Mad Max 2 (a.k.a. The Road Warrior) (1981),Action|Sci-Fi
42,Hear My Song (1991),Comedy
43,Titanic (1997),Drama|Romance
44,Untouchables, The (1987),Action|Crime|Drama
46,Penny Serenade (1941),Drama|Romance
47,Someone to Watch Over Me (1987),Action|Crime|Thriller
48,Machine, The (1994),Comedy|Horror
49,Goonies, The (1985),Adventure|Children's|Fantasy
50,Stardust Memories (1980),Comedy|Drama
51,Saint, The (1997),Action|Romance|Thriller
52,Dingo (1992),Drama
53,Private Parts (1997),Comedy|Drama
54,Oxygen (1999),Thriller
55,Independence Day (ID4) (1996),Action|Sci-Fi|War
56,Mister Roberts (1955),Comedy|Drama|War
57,Longest Day, The (1962),Action|Drama|War
58,Friday the 13th: The Final Chapter (1984),Horror
