UserId,Gender,Age,Occupation,Zip-code
1,F,18,5,48108
2,M,25,1,23462
3,M,50,6,5055
4,F,18,19,2452
5,M,25,2,55103
6,M,35,11,48640
7,M,35,5,92867
8,M,18,4,78705
9,M,25,0,90019
10,M,18,19,55912
11,M,35,11,98443
12,M,25,1,19335
13,F,25,9,92064
14,M,25,0,92646
15,F,18,2,72701
16,M,35,7,53404
17,M,35,3,48827
18,M,18,12,10549
19,M,18,4,45750
20,M,25,0,74105
21,M,25,7,91436
22,M,50,11,48823
23,M,25,4,22030
24,M,50,1,90027
25,M,25,1,55116
26,F,1,10,3608
27,M,18,12,19403
28,M,35,7,90020
29,M,50,6,193122042
30,M,25,7,30115
31,M,35,5,41144
32,F,25,4,91740
33,M,25,0,43614
34,F,35,20,94118
35,F,25,4,96817
36,M,25,7,94301
37,M,56,6,77096
38,M,25,12,98007
39,M,18,1,57382
40,M,45,1,53045
41,M,25,4,48105
42,M,18,0,19134
43,M,35,7,55124
44,F,25,0,98105
45,M,18,0,48314
46,F,25,3,27606
47,M,25,15,53706
48,F,45,0,10022
49,F,18,15,2115
50,F,25,12,94131
51,M,25,0,98122
52,M,35,7,20191
53,M,45,7,91766
54,M,18,4,94706
55,M,25,14,55406
56,F,25,14,12189
57,M,56,20,55101
58,F,25,9,32212
59,M,25,17,94122
60,F,50,8,84770
61,F,18,4,55105
62,F,18,4,78705-5221
63,M,25,12,55406
64,M,1,0,2322
65,F,18,4,2142
66,F,35,14,38018
67,M,18,15,94015
68,M,35,3,48107
69,M,45,5,60647
70,M,18,4,32720
71,M,25,0,32112
72,M,18,0,62225
73,M,1,4,10012
74,M,25,4,70003
75,M,35,0,94110
76,M,56,1,53705
77,M,25,1,27713
78,M,18,4,7940
79,F,35,0,1545
80,F,1,10,10706
81,F,25,9,41075
82,M,35,0,2115
83,M,25,0,37923-3112
84,M,25,20,46802
85,M,25,20,10010
86,M,35,17,97232
87,M,1,10,75633
88,M,25,0,60610
89,M,25,1,55406
90,F,18,12,29708
91,M,35,7,27511
92,M,25,0,64106
93,F,1,10,13090
94,M,18,4,61820
95,M,18,4,49546
96,M,35,17,48313
97,M,18,12,55122
98,F,35,1,89447
99,M,18,15,96661
100,M,18,0,63011
101,M,50,0,45420
102,F,25,3,97401
103,F,25,0,92870
104,M,18,14,10017
105,M,50,1,44240
106,M,18,17,98121
107,M,25,14,81679
108,F,35,7,55116
109,M,25,6,48197
110,M,35,0,95826
111,F,35,3,60187
112,M,45,20,2446
113,M,35,7,52402
114,F,35,9,17055
115,M,18,4,82072
116,M,35,1,55406
117,F,45,2,94558
118,M,18,10,53207
119,M,50,17,8043
120,M,18,4,84112-2004
121,M,35,11,52803
122,M,18,0,31211
123,M,25,1,97302
124,M,45,0,23454
125,M,18,4,53706
126,F,35,7,7601
127,M,45,7,37343
128,F,56,7,10019
129,M,18,0,47933
130,M,50,7,94024
131,M,25,18,97034
132,M,56,7,20814
133,F,25,17,19810
134,M,25,12,78731
135,F,18,4,94122
136,F,25,7,94115
137,F,18,4,78209
138,M,25,0,92346
139,M,25,15,99353
140,M,18,12,2215
141,F,45,9,95661
142,F,25,0,55108
143,M,25,3,50311
144,M,25,17,67443
145,F,25,12,60540
146,M,35,1,32792
147,F,25,9,60201
148,F,25,14,21046
149,M,35,7,77079
150,M,25,7,45011
151,M,25,17,28262
152,M,35,17,27587
153,M,45,7,75080
154,M,18,0,2780
155,F,18,17,83843
156,F,25,4,78728
157,F,50,1,60089
158,M,25,17,38654
159,F,50,6,97330
160,M,25,12,55443
161,F,45,16,94110
162,M,18,4,2138
163,M,35,2,45243
164,M,25,12,98034
165,M,35,6,37932
166,F,50,0,97403
167,F,45,16,14424
168,F,50,1,93103
169,M,25,7,49321
170,F,25,7,29615
171,M,56,13,94134
172,F,18,4,63109
173,M,18,4,28403
174,M,25,12,91101
175,M,35,7,16365
176,M,18,4,89146
177,M,35,14,30030
178,F,18,1,60914
179,M,35,1,14260
180,M,35,1,49417
181,M,1,10,48073
182,M,56,0,91367
183,M,50,17,23233
184,M,25,7,53717
185,M,35,20,94122
186,M,25,20,94014
187,M,45,12,48130
188,F,45,2,20036
189,M,35,6,18249
190,M,50,16,95070
191,M,18,10,2780
192,M,25,12,60613
193,M,25,1,85364
194,M,35,6,91103
195,M,35,1,33304
196,F,25,4,1075
197,M,25,15,85003
198,M,35,17,15330
199,F,50,1,28043
200,M,25,2,19320
201,M,50,20,6033
202,M,50,17,49506
203,F,25,4,66049
204,M,56,7,49423
205,M,56,13,46143
206,F,25,15,3255
207,F,25,4,73160
208,M,25,20,10023
209,M,18,4,4901
210,F,45,1,92100
211,F,18,4,43402
212,M,50,12,13041
213,M,25,20,43315
214,M,18,2,14456
215,M,45,17,7649
216,F,35,7,90274
217,M,1,4,46311
218,M,56,0,1886
219,F,35,1,44107
220,M,35,7,22904
221,M,35,17,33433
222,M,18,17,75093
223,M,25,20,2048
224,F,50,1,6043
225,M,25,1,57106
226,F,18,4,97339
227,M,45,7,85287-2702
228,M,35,1,80026
229,M,25,6,37930
230,M,25,17,60042
231,M,18,4,44646
232,F,45,0,55122
233,M,18,10,78230
234,M,56,13,94025
235,M,25,4,8544
236,M,25,4,95616
237,M,50,7,32114
238,M,25,0,92008
239,M,18,4,2138
240,M,25,20,90032
241,M,45,7,2460
242,F,35,5,44313
243,M,50,1,34683
244,F,35,7,80122
245,M,56,6,91011
246,F,50,1,55126
247,F,25,0,94115
248,M,56,13,95929
249,F,35,3,83001
250,F,25,17,1453
251,M,18,4,66044
252,F,18,4,2912
253,M,45,17,94931
254,F,25,4,2141
255,M,25,0,20878
256,M,18,5,65211
257,M,56,13,40511
258,M,25,0,10009
259,M,45,17,32256
260,F,25,6,77054
261,M,18,5,97202
262,M,50,0,62025-8000
263,M,56,3,89185
264,M,25,17,55447
265,M,25,12,60622
266,M,18,20,80218
267,M,25,4,48065
268,M,56,3,94561
269,M,18,4,32607
270,M,56,0,32043
271,F,18,4,78705
272,F,35,4,78212
273,M,25,1,43026
274,M,1,0,2780
275,F,25,0,21030
276,M,25,16,4101
277,M,18,12,55118
278,M,18,4,30332
279,M,45,14,85251
280,M,25,2,20037
281,M,18,4,30328
282,M,25,2,90038
283,F,25,9,84037
284,M,25,0,45458
285,F,45,1,97361
286,M,1,19,73505
287,M,35,12,95864
288,M,45,7,92965
289,M,35,1,6417
290,M,25,18,26104
291,F,25,0,97213
292,F,1,0,90210
293,M,18,2,92109
294,M,35,6,92672
295,F,18,10,27606
296,M,56,7,21773
297,M,35,2,78006
298,M,18,11,89170
299,F,35,12,43528
300,F,25,6,2118
301,F,18,14,50401
302,F,25,6,94132
303,M,25,6,94108
304,M,25,4,55112
305,M,18,7,44039
306,M,25,0,20744-6223
307,M,50,20,20009
308,M,18,4,53142
309,F,45,0,78757
310,M,45,20,94121
311,F,25,1,8904
312,M,25,4,48104
313,M,45,17,30075
314,F,25,19,60612
315,F,56,8,90210
316,F,25,4,72801
317,F,1,10,1915
318,M,18,4,56520
319,M,45,1,60091
320,M,18,4,15217
321,M,56,7,8854
322,M,25,14,54915
323,M,1,0,78130
324,F,50,1,52002
325,M,45,7,55438
326,M,18,0,49506
327,M,25,4,65804
328,M,25,18,78757
329,F,25,7,2494
330,M,45,17,40515
331,M,18,4,20742
332,M,18,7,94104
333,M,1,10,42754
334,M,25,4,22901
335,F,45,9,85202
336,M,35,16,10472
337,M,35,13,76548
338,M,25,20,55105
339,M,25,0,37205
340,M,25,1,08854-3115
341,M,25,0,66605
342,M,35,15,19406
343,M,25,14,7430
344,M,25,17,70508
345,F,18,4,92805
346,F,35,17,48219
347,M,35,15,36109
348,F,25,0,53713
349,M,25,19,11414-2520
350,F,25,0,28304
351,M,25,3,94118
352,M,25,6,68131
353,M,18,5,41018
354,F,35,7,80013
355,M,56,0,37363
356,M,25,20,95380
357,M,45,1,13214
358,M,18,20,12222
359,F,25,7,48105
360,M,25,17,94043
361,M,35,7,75229
362,F,1,10,90039
363,M,45,0,23462
364,M,35,7,10001
365,F,18,1,94578
366,M,25,0,20009
367,M,45,7,1605
